Субъект;Код субъекта;Удельный вес организаций, использовавших персональные компьютеры, в процентах;Удельный вес организаций, использовавших Интернет, в процентах;Доля организаций, использующих сеть Интернет для размещения заказов на товары, работы, услуги;Доля организаций, имевших веб-сайт в сети Интернет;Доля органов власти, имеющих доступ в сеть Интернет со скоростью не менее 2 Мбит/сек;Доля учреждений здравоохранения, использующих сеть Интернет;Доля домашних хозяйств, имеющих компьютер;Доля домашних хозяйств, имеющих доступ к сети Интернет;Число пользователей сети Интернет на 100 человек населения;Доля граждан, использующих механизм получения государственных и муниципальных услуг в электронной форме;Доля населения, являющегося активными пользователями сети Интернет;Доля населения, использовавшего сеть Интернет для заказа товаров и услуг;Доля населения, не использующего сеть Интернет по соображениям безопасности;Число квартирных телефонных аппаратов на 1000 человек населения в городской местности;Число квартирных телефонных аппаратов на 1000 человек населения в сельской местности;Число абонентских устройств сотовой связи на 1000 человек населения;Затраты на информационные и коммуникационные технологии, в расчете на одного жителя, тысяч рублей;Объем оказанных населению услуг связи, в расчете на одного жителя, рублей
Калинингpадская область;КЛГ;91,30;90,40;39,70;50,20;79,09;94,70;72,20;78,30;86,00;69,20;84,50;33,50;0,10;122,30;36,70;2052,40;4,25;5974,30
Калужская область;КЛЖ;95,00;93,00;46,00;52,40;66,40;93,90;72,09;72,20;71,00;70,20;68,59;19,30;0,30;183,20;57,60;2109,90;4,79;6172,50
Камчатский край;КМЧ;97,00;95,90;50,40;54,40;62,50;100,00;73,20;84,90;84,00;71,70;83,70;40,90;1,60;107,50;91,40;1881,30;10,22;12231,50
Карачаево-Черкесская Республика;КЧР;92,60;90,50;38,50;49,50;61,00;95,90;70,40;81,80;81,00;76,30;78,50;21,80;0,20;67,00;37,30;1328,20;1,40;4682,20
Кемеровская область;КЕМ;94,20;90,50;43,50;53,30;74,80;97,40;62,30;69,70;78,00;63,00;77,40;25,20;0,10;91,20;41,40;1802,10;2,74;4655,00
Кировская область;КИР;96,20;92,00;40,20;45,50;63,50;97,80;58,30;66,30;78,00;66,00;76,59;38,70;0,10;136,70;102,10;1772,80;3,81;5259,00
Костромская область;КСТ;93,30;87,10;37,79;44,80;58,80;92,80;61,90;66,50;76,00;63,60;74,20;35,10;0,00;177,70;127,80;1817,80;7,58;5528,10
Краснодарский край;КРД;95,30;92,80;44,70;48,90;70,40;97,30;64,90;77,30;79,00;85,50;77,59;30,20;0,80;101,20;93,70;2548,70;3,05;7490,80
Красноярский край;КРЯ;93,80;92,20;42,80;50,20;58,30;91,20;63,00;69,50;80,00;83,10;78,70;29,80;1,50;92,90;65,80;1853,80;5,88;6024,50
Курганская область;КРГ;91,30;88,00;34,70;41,60;48,20;95,90;58,40;65,90;77,00;77,59;75,20;26,60;0,20;97,80;80,40;2105,40;2,57;4606,80
Курская область;КРС;90,40;85,60;39,70;44,90;57,50;97,60;62,50;78,59;83,00;78,20;82,40;36,90;0,50;105,50;35,50;1924,70;3,16;4812,50
Ленинградская область;ЛЕН;95,60;94,30;48,70;59,80;74,50;98,90;69,59;73,59;77,00;69,80;75,80;40,29;2,10;109,30;41,40;;3,62;
Липецкая область;ЛИП;93,90;92,20;42,40;50,30;73,90;98,60;67,59;69,80;74,00;80,90;73,30;25,90;0,40;148,60;118,80;1984,10;5,01;5216,70
Магаданская область;МГД;97,40;96,30;55,40;54,90;70,00;100,00;68,80;91,00;84,00;38,70;81,90;24,20;0,40;90,50;53,40;1795,40;9,85;11588,80
Московская область;МСО;91,60;89,60;49,60;55,10;79,90;96,80;78,50;82,70;89,00;90,90;84,90;47,80;0,10;152,20;55,10;;20,36;
Мурманская область;МУР;96,70;95,20;48,00;56,80;81,20;96,80;79,09;84,20;90,00;63,60;89,70;55,40;1,30;143,60;55,80;1976,60;5,01;9020,90
Ненецкий автономный округ;НЕН;90,40;88,50;40,20;51,40;57,90;100,00;75,70;74,80;81,00;70,59;79,40;57,20;0,20;112,10;110,10;;17,38;3544,40
Нижегородская область;НЖГ;95,60;94,50;47,10;55,70;68,50;97,50;64,59;70,09;79,00;90,20;75,09;45,50;0,80;188,00;92,60;2472,20;7,48;5725,20
Новгородская область;НВГ;94,80;93,40;50,40;54,50;69,80;92,60;62,60;66,09;74,00;68,59;72,70;33,29;1,20;130,10;91,50;2072,80;3,27;5325,20
Новосибирская область;НВС;91,80;90,00;43,40;51,70;70,00;95,40;66,40;80,00;84,00;70,09;83,60;33,90;0,10;126,50;128,30;2076,60;9,07;6892,30
Омская область;ОМС;90,70;88,50;41,00;44,20;62,10;97,90;67,70;78,20;81,00;72,40;80,20;34,70;0,60;133,40;85,60;1959,80;2,73;4640,60
Оренбургская область;ОРЕ;97,30;95,60;43,20;54,60;69,70;98,40;78,80;87,90;86,00;87,40;84,80;35,60;0,30;136,60;99,30;1989,40;3,57;5679,90
Орловская область;ОРЛ;92,10;90,30;38,50;45,70;58,30;100,00;60,80;67,00;73,00;57,60;72,20;25,10;0,50;130,40;43,90;2044,90;2,97;5400,20
Пензенская область;ПНЗ;95,90;93,70;37,20;55,30;59,90;96,80;65,90;73,90;81,00;76,00;79,59;34,10;0,70;171,80;100,60;1773,40;2,22;5550,90
Пермский край;ПРМ;93,30;90,40;47,60;42,60;74,20;97,40;62,60;70,30;77,00;61,80;76,70;33,10;0,10;126,30;77,80;2009,70;7,33;5408,10
Приморский край;ПРК;90,80;88,40;41,00;46,10;66,59;94,70;66,09;75,40;79,00;70,50;77,40;29,80;0,60;134,30;91,70;1910,60;4,48;7646,10
Псковская область;ПСК;92,90;91,40;47,10;47,60;68,80;95,00;65,20;72,50;79,00;51,00;78,70;29,80;0,20;127,50;84,10;1868,30;2,00;5209,50
Республика Адыгея;АДГ;92,70;90,60;40,00;57,00;75,00;97,80;50,90;77,80;77,00;77,80;76,30;10,40;0,70;97,50;28,10;1060,70;1,86;1671,20
Республика Алтай;АЛТ;95,10;94,10;33,70;61,40;68,59;96,70;59,90;73,20;70,00;59,10;67,50;34,90;0,30;100,80;53,30;1465,70;3,33;3315,70
Республика Башкортостан;БАШ;94,60;92,60;46,10;54,30;60,50;97,20;62,10;77,50;88,00;89,70;87,60;22,90;0,20;74,10;143,70;1766,30;5,14;5207,00
Республика Бурятия;БУР;92,50;89,70;38,60;43,80;54,90;97,30;54,40;83,70;85,00;76,40;83,70;34,40;0,60;73,40;53,00;1603,80;3,80;4898,20
